name,symbol,category,chains,tvl,change_1h,change_1d,change_7d,mcap,url,description
Mantra Protocol,-,NFT Lending,"smartBCH, Shibarium, Dogechain, Cronos",2028.4976230252682,2.494302115620826,-5.963956401673684,-13.00044458856587,,https://app.withmantra.com,NFT Marketplace and NFT Lending Protocol with liquidity pools and several financial services built on top. We are building the NFT Liquidity Layer of multiple blockchains.
Copump,-,Launchpad,"Soneium, Linea, Taiko, Sophon, CORE, Celo, Scroll, Sonic, Morph",2021.9907054563917,1.4850513447021854,-9.18970882382095,-16.90926665021756,,https://copump.xyz/,Meme launchpad on multiple EVM chains
Q Infinity,-,Farm,Q Protocol,2017.6283529949937,1.0090190124890484,-8.5378943273832,-14.386216303821612,,https://engage.qdev.li/,"Q Infinity campaign incentivizes bridging and locking WETH, USDC, and ELK tokens on the Q mainnet to earn points redeemable for QGOV token rewards. Users can earn additional points as well by engaging with Q protocol twitter"
Money Mates,-,SoFi,zkSync Era,2000.1189007043256,1.3644698831740527,-9.42660259308812,-17.10155114836668,,,Empowering the creator economy with tailored financial tools
RetroDefi,RCUBE,Yield,"Binance, Polygon",1996.463928102948,2.1934435390865445,-6.164990588641189,-11.128966071735874,0.0,https://www.retrodefi.net,Multi-Chain Yield Optimizer
Magma Finance ALMM,-,Dexs,Sui,1995.7983245448675,0.23052208770195648,-8.65185260967931,-23.651924468546113,,https://magmafinance.io/,Magma Finance is a cutting-edge AMM DEX designed for MOVE-based blockchains.
Mars Perps,MARS,Derivatives,Neutron,1990.784763662535,-0.009446320555198895,-0.00988633839153863,-76.73463132642496,,https://marsprotocol.io/,"Mars is a multichain credit protocol enabling borrowing and lending primitives in the Cosmos. With Mars v2, the protocol introduced Rover credit accounts to Osmosis. Much like Binance subaccounts, credit accounts act as transferrable NFT containers where users can deposit assets, and use them as collateral for borrowing, spot or margin trading, leveraged yield farming, and hedging — all with a single liquidation point"
Obric,-,Dexs,Aptos,1984.5261858656406,0.6050235796806192,-8.64937895552275,-13.195194383890453,,https://obric.xyz,Proactive AMMS with your Single-token liquidity.
Soluna,SLNA,Yield,Terra,1984.381919235999,2.4780749894170953,-11.338631904624236,-16.88594714703129,58.78098245178396,,Soluna is a protocol for composable stable assets designed to bridge Anchor Protocol's high-yield savings to Solana.
Prophet,-,Prediction Market,Obyte,1980.9203031104198,-0.031118147688118825,-0.9938283351794439,15.520183323184284,,https://prophet.ooo,Prophet is a decentralized prediction market on the Obyte ledger.
